timestamp,protocol,source_ip,destination_ip,source_port,destination_port,isTor,isVPN,isNormal
2026-06-24 11:53:09.474675,TCP,13.107.246.72,192.168.1.8,443,50311,0.913953,0.055743,0.030305
2026-06-24 11:53:21.979786,TCP,140.82.114.25,192.168.1.8,443,63607,0.831556,0.053960,0.114483
2026-06-24 11:53:15.978830,TCP,192.168.1.8,4.190.204.134,50215,443,0.600631,0.173756,0.225613
2026-06-24 11:53:14.235809,TCP,192.168.1.8,4.190.204.124,50223,443,0.820388,0.080108,0.099504
2026-06-24 11:53:25.405454,TCP,192.168.1.8,52.111.252.61,50288,443,0.769444,0.047733,0.182823
2026-06-24 11:53:42.964174,TCP,192.168.1.8,52.123.253.82,50289,443,0.118861,0.053297,0.827841
2026-06-24 11:53:14.537993,TCP,192.168.1.8,52.112.49.24,50291,443,0.912291,0.031874,0.055835
2026-06-24 11:53:06.532322,TCP,192.168.1.8,40.79.197.35,50310,443,0.888578,0.067782,0.043640
2026-06-24 11:53:22.424023,TCP,192.168.1.8,52.123.128.14,50312,443,0.082645,0.033333,0.884022
2026-06-24 11:53:21.923856,TCP,192.168.1.8,52.123.128.14,50313,443,0.087361,0.031483,0.881155
2026-06-24 11:53:12.662386,TCP,192.168.1.8,20.57.103.21,63608,443,0.881110,0.069199,0.049691
2026-06-24 11:53:21.842789,UDP,142.250.195.74,192.168.1.8,443,49558,0.736319,0.046094,0.217587
2026-06-24 11:53:05.663543,UDP,172.224.19.139,192.168.1.8,443,60485,0.592710,0.074265,0.333025
2026-06-24 11:53:12.649237,UDP,192.168.1.1,192.168.1.8,53,57430,0.496202,0.077761,0.426037
2026-06-24 11:53:12.649339,UDP,192.168.1.1,192.168.1.8,53,64878,0.469796,0.086168,0.444037
2026-06-24 11:53:04.260856,UDP,192.168.1.8,52.114.83.3,44980,3478,0.462811,0.074468,0.462721
2026-06-24 11:53:04.704332,UDP,192.168.1.8,52.115.245.176,44980,3478,0.891522,0.022560,0.085917
2026-06-24 11:53:46.740143,UDP,192.168.1.8,52.112.50.26,50082,3478,0.451763,0.055489,0.492748
